platform,player_id,player_key,fp_player_id,canonical_player_id,fp_key,player,position,nfl_team,team_name,owner,eligible_positions
sleeper,6770,6770,19196.0,canon:joe burrow::QB,joe-burrow|QB|,Joe Burrow,QB,CIN,Cup Of Joe ,Vande23,['QB']
sleeper,6806,6806,19245.0,canon:jk dobbins::RB,j-k-dobbins|RB|,J.K. Dobbins,RB,DEN,Cup Of Joe ,Vande23,"['RB', 'W/R/T']"
sleeper,6813,6813,19217.0,canon:jonathan taylor::RB,jonathan-taylor|RB|,Jonathan Taylor,RB,IND,Cup Of Joe ,Vande23,"['RB', 'W/R/T']"
sleeper,7564,7564,19788.0,canon:jamarr chase::WR,ja-marr-chase|WR|,Ja'Marr Chase,WR,CIN,Cup Of Joe ,Vande23,"['WR', 'W/R/T']"
sleeper,8134,8134,23748.0,canon:khalil shakir::WR,khalil-shakir|WR|,Khalil Shakir,WR,BUF,Cup Of Joe ,Vande23,"['WR', 'W/R/T']"
sleeper,8151,8151,23021.0,canon:kenneth walker::RB,kenneth-walker|RB|,Kenneth Walker,RB,SEA,Cup Of Joe ,Vande23,"['RB', 'W/R/T']"
sleeper,8205,8205,24333.0,canon:isiah pacheco::RB,isiah-pacheco|RB|,Isiah Pacheco,RB,KC,Cup Of Joe ,Vande23,"['RB', 'W/R/T']"
sleeper,9756,9756,,,,Jordan Addison,WR,MIN,Cup Of Joe ,Vande23,"['WR', 'W/R/T']"
sleeper,SEA,SEA,8260.0,canon:seattle seahawks::DST,seattle-seahawks|DST|,Seattle Seahawks,DEF,SEA,Cup Of Joe ,Vande23,['DEF']
sleeper,10229,10229,,,,Rashee Rice,WR,KC,DBoiii,DBoiii,"['WR', 'W/R/T']"
sleeper,11566,11566,22902.0,canon:jayden daniels::QB,jayden-daniels|QB|,Jayden Daniels,QB,WAS,DBoiii,DBoiii,['QB']
sleeper,11651,11651,26392.0,canon:isaac guerendo::RB,isaac-guerendo|RB|,Isaac Guerendo,RB,SF,DBoiii,DBoiii,"['RB', 'W/R/T']"
sleeper,12512,12512,25391.0,canon:quinshon judkins::RB,quinshon-judkins|RB|,Quinshon Judkins,RB,CLE,DBoiii,DBoiii,"['RB', 'W/R/T']"
sleeper,2133,2133,12123.0,canon:davante adams::WR,davante-adams|WR|,Davante Adams,WR,LAR,DBoiii,DBoiii,"['WR', 'W/R/T']"
sleeper,2449,2449,13981.0,canon:stefon diggs::WR,stefon-diggs|WR|,Stefon Diggs,WR,NE,DBoiii,DBoiii,"['WR', 'W/R/T']"
