roster_id,owner,team_name,player_id,player,pos,nfl_team,is_starter,is_reserve
10,rholcomb,rholcomb,5872,Deebo Samuel,WR,WAS,False,False
10,rholcomb,rholcomb,6801,Tee Higgins,WR,CIN,True,False
10,rholcomb,rholcomb,7553,Kyle Pitts,TE,ATL,False,False
10,rholcomb,rholcomb,8130,Trey McBride,TE,ARI,True,False
10,rholcomb,rholcomb,5095,Daniel Carlson,K,LV,True,False
10,rholcomb,rholcomb,BAL,Baltimore Ravens,DEF,BAL,True,False
4,young3ull,Chungus Buzzards,4881,Lamar Jackson,QB,BAL,True,False
4,young3ull,Chungus Buzzards,12490,Bhayshul Tuten,RB,JAX,False,False
4,young3ull,Chungus Buzzards,12469,Dylan Sampson,RB,CLE,False,False
4,young3ull,Chungus Buzzards,4137,James Conner,RB,ARI,True,False
4,young3ull,Chungus Buzzards,8138,James Cook,RB,BUF,True,False
4,young3ull,Chungus Buzzards,4983,DJ Moore,WR,CHI,True,False
4,young3ull,Chungus Buzzards,12535,Isaac TeSlaa,WR,DET,False,False
4,young3ull,Chungus Buzzards,11635,Ladd McConkey,WR,LAC,True,False
4,young3ull,Chungus Buzzards,12519,Luther Burden,WR,CHI,False,False
4,young3ull,Chungus Buzzards,9493,Puka Nacua,WR,LAR,True,False
4,young3ull,Chungus Buzzards,11620,Rome Odunze,WR,CHI,True,False
4,young3ull,Chungus Buzzards,12517,Colston Loveland,TE,CHI,False,False
4,young3ull,Chungus Buzzards,5012,Mark Andrews,TE,BAL,True,False
4,young3ull,Chungus Buzzards,8259,Cameron Dicker,K,LAC,True,False
4,young3ull,Chungus Buzzards,PHI,Philadelphia Eagles,DEF,PHI,True,False
