team_key,team_name,owner,player_id,player,pos,nfl_team,is_starter
461.l.1264351.t.11,Soft Hands David,Soft Hands David,30295,Aaron Jones Sr.,RB,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,40118,De'Von Achane,RB,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,30161,Joe Mixon,RB,,False
461.l.1264351.t.11,Soft Hands David,Soft Hands David,30136,Evan Engram,TE,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,33392,Kyle Pitts Sr.,TE,,False
461.l.1264351.t.11,Soft Hands David,Soft Hands David,28392,Amari Cooper,WR,,False
461.l.1264351.t.11,Soft Hands David,Soft Hands David,33500,Amon-Ra St. Brown,WR,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,33965,Garrett Wilson,WR,,True
461.l.1264351.t.11,Soft Hands David,Soft Hands David,32685,Jerry Jeudy,WR,,False
461.l.1264351.t.11,Soft Hands David,Soft Hands David,34659,Rashid Shaheed,WR,,False
461.l.1264351.t.11,Soft Hands David,Soft Hands David,41793,Tetairoa McMillan,WR,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,100023,Pittsburgh,DEF,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,29792,Ka'imi Fairbairn,K,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,29369,Dak Prescott,QB,,False
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,29235,Jared Goff,QB,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,30423,Austin Ekeler,RB,,False
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,29279,Derrick Henry,RB,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,34019,James Cook,RB,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,32711,Jonathan Taylor,RB,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,41881,Kaleb Johnson,RB,,False
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,41795,Colston Loveland,TE,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,30994,DJ Moore,WR,,True
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,33394,Jaylen Waddle,WR,,False
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,32704,Michael Pittman Jr.,WR,,False
461.l.1264351.t.6,Spin Zone PHAMTOM,Spin Zone PHAMTOM,27535,Mike Evans,WR,,True
