"fantasypros_id","player_name","team","passing_att","passing_cmp","passing_yds","passing_tds","passing_ints","rushing_att","rushing_yds","rushing_tds","misc_fl","misc_fpts","pos","year","week","pulled_at","source","player","fp_player_id","fantasypts","weekly_sd","weekly_floor","weekly_ceiling","fp_player_slug","fp_key","weekly_avg","weekly_ecr_rank","weekly_ecr_best_rank","weekly_ecr_worst_rank","weekly_ecr_avg_rank","weekly_ecr_sd_rank","receiving_rec","receiving_yds","receiving_tds","fg","fga","xpt","fpts","sack","int","fr","ff","td","safety","pa","yds_agn","weekly_points_overall_rank","weekly_points_pos_rank"
"8130","Indianapolis Colts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Indianapolis Colts",8130,5.3,NA,NA,NA,"indianapolis-colts","indianapolis-colts|DST|",5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,1.9,0.8,0.5,0.8,0.1,0,22.1,362.4,247,23
"8080","Dallas Cowboys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Dallas Cowboys",8080,5.2,NA,NA,NA,"dallas-cowboys","dallas-cowboys|DST|",5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,2.3,0.6,0.5,0.8,0.1,0,27.4,367.4,250,24
"8100","Detroit Lions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Detroit Lions",8100,5.1,NA,NA,NA,"detroit-lions","detroit-lions|DST|",5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.7,0.8,0.5,0.7,0.2,0,24.4,342.1,253,25
"8250","Los Angeles Chargers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Los Angeles Chargers",8250,5.1,NA,NA,NA,"los-angeles-chargers","los-angeles-chargers|DST|",5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,2.1,0.7,0.4,0.7,0.1,0,24.4,359.8,254,26
"8210","New York Jets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","New York Jets",8210,5.1,NA,NA,NA,"new-york-jets","new-york-jets|DST|",5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,2,0.6,0.5,0.7,0.1,0,20.2,329.4,255,27
"8030","Buffalo Bills",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Buffalo Bills",8030,5,NA,NA,NA,"buffalo-bills","buffalo-bills|DST|",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0.6,0.5,0.9,0.1,0,25.1,386.4,257,28
"8020","Baltimore Ravens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Baltimore Ravens",8020,5,NA,NA,NA,"baltimore-ravens","baltimore-ravens|DST|",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.7,0.7,0.5,0.8,0.1,0,26.7,364.8,258,29
"8040","Carolina Panthers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Carolina Panthers",8040,4.8,NA,NA,NA,"carolina-panthers","carolina-panthers|DST|",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,1.9,0.7,0.4,0.6,0.1,0,24.2,363.6,266,30
"8190","New Orleans Saints",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","New Orleans Saints",8190,4.8,NA,NA,NA,"new-orleans-saints","new-orleans-saints|DST|",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,1.9,0.7,0.5,0.5,0.1,0,23.7,359.5,267,31
"8300","Tennessee Titans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DST",2025,1,"2025-08-31T05:13:56Z","fantasypros","Tennessee Titans",8300,4.5,NA,NA,NA,"tennessee-titans","tennessee-titans|DST|",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.7,0.6,0.4,0.7,0.1,0,24.6,351.9,278,32
"19058","Chase McLaughlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Chase McLaughlin TB",19058,8.1,NA,NA,NA,"chase-mclaughlin-tb","chase-mclaughlin-tb|K|",8.1,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,2.8,8.1,NA,NA,NA,NA,NA,NA,NA,NA,149,1
"26075","Jake Bates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Jake Bates DET",26075,8,NA,NA,NA,"jake-bates-det","jake-bates-det|K|",8,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.9,2.9,8,NA,NA,NA,NA,NA,NA,NA,NA,152,2
"26475","Cam Little",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Cam Little JAC",26475,8,NA,NA,NA,"cam-little-jac","cam-little-jac|K|",8,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.1,2.5,8,NA,NA,NA,NA,NA,NA,NA,NA,153,3
"16540","Jake Elliott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Jake Elliott PHI",16540,8,NA,NA,NA,"jake-elliott-phi","jake-elliott-phi|K|",8,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2,3,8,NA,NA,NA,NA,NA,NA,NA,NA,154,4
"16026","Wil Lutz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Wil Lutz DEN",16026,8,NA,NA,NA,"wil-lutz-den","wil-lutz-den|K|",8,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.2,2.6,8,NA,NA,NA,NA,NA,NA,NA,NA,155,5
"18545","Matt Gay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Matt Gay WAS",18545,7.9,NA,NA,NA,"matt-gay-was","matt-gay-was|K|",7.9,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2,2.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,158,6
"13274","Brandon McManus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Brandon McManus GB",13274,7.9,NA,NA,NA,"brandon-mcmanus-gb","brandon-mcmanus-gb|K|",7.9,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,2.6,7.9,NA,NA,NA,NA,NA,NA,NA,NA,159,7
"19760","Tyler Bass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Tyler Bass BUF",19760,7.9,NA,NA,NA,"tyler-bass-buf","tyler-bass-buf|K|",7.9,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.1,3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,160,8
"23901","Cameron Dicker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Cameron Dicker LAC",23901,7.8,NA,NA,NA,"cameron-dicker-lac","cameron-dicker-lac|K|",7.8,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2,2.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,161,9
"23297","Evan McPherson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K",2025,1,"2025-08-31T05:13:56Z","fantasypros","Evan McPherson CIN",23297,7.7,NA,NA,NA,"evan-mcpherson-cin","evan-mcpherson-cin|K|",7.7,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2,2.6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,163,10
