"player_name","pos","team","rank","ecr","sd","best","worst","player_positions","player_short_name","player_eligibility","player_page_url","player_filename","player_bye_week","player_owned_avg","player_ecr_delta","note","tag","recommendation","pos_rank","r2p_pts","year","pulled_at","source","player","fp_player_id","ros_points","ros_rank","ros_best_rank","ros_worst_rank","ros_avg_rank","ros_sd_rank","ros_ecr_vs_adp","fp_player_slug","team_clean","fp_key","ros_pos_rank"
"Atlanta Falcons","DST","ATL",25,24.75,2.28,21,27,"DST","ATL DST","DST","https://www.fantasypros.com/nfl/players/atlanta-defense.php","atlanta-defense.php","5",11,NA,NA,NA,NA,"DST25","96.9",2025,"2025-09-09T18:09:55Z","fantasypros","Atlanta Falcons",8010,NA,25,21,27,NA,2.28,NA,"atlanta-falcons","atl","atlanta-falcons|DST|atl",25
"Miami Dolphins","DST","MIA",26,26.25,2.95,23,31,"DST","MIA DST","DST","https://www.fantasypros.com/nfl/players/miami-defense.php","miami-defense.php","12",23.5,NA,NA,NA,NA,"DST26","95.2",2025,"2025-09-09T18:09:55Z","fantasypros","Miami Dolphins",8160,NA,26,23,31,NA,2.95,NA,"miami-dolphins","mia","miami-dolphins|DST|mia",26
"Las Vegas Raiders","DST","LV",27,25.5,1.5,24,27,"DST","LV DST","DST","https://www.fantasypros.com/nfl/players/las-vegas-defense.php","las-vegas-defense.php","8",4.6,3,NA,NA,NA,"DST27","95.2",2025,"2025-09-09T18:09:55Z","fantasypros","Las Vegas Raiders",8220,NA,27,24,27,NA,1.5,NA,"las-vegas-raiders","lv","las-vegas-raiders|DST|lv",27
"Tennessee Titans","DST","TEN",28,26.5,1.5,25,28,"DST","TEN DST","DST","https://www.fantasypros.com/nfl/players/tennessee-defense.php","tennessee-defense.php","10",10.9,3,NA,NA,NA,"DST28","95.2",2025,"2025-09-09T18:09:55Z","fantasypros","Tennessee Titans",8300,NA,28,25,28,NA,1.5,NA,"tennessee-titans","ten","tennessee-titans|DST|ten",28
"New Orleans Saints","DST","NO",29,27,2,25,29,"DST","NO DST","DST","https://www.fantasypros.com/nfl/players/new-orleans-defense.php","new-orleans-defense.php","11",12.3,NA,NA,NA,NA,"DST29","91.8",2025,"2025-09-09T18:09:55Z","fantasypros","New Orleans Saints",8190,NA,29,25,29,NA,2,NA,"new-orleans-saints","no","new-orleans-saints|DST|no",29
"Cincinnati Bengals","DST","CIN",30,27.67,0.47,27,28,"DST","CIN DST","DST","https://www.fantasypros.com/nfl/players/cincinnati-defense.php","cincinnati-defense.php","10",21.7,NA,NA,NA,NA,"DST30","91.8",2025,"2025-09-09T18:09:55Z","fantasypros","Cincinnati Bengals",8060,NA,30,27,28,NA,0.47,NA,"cincinnati-bengals","cin","cincinnati-bengals|DST|cin",30
"Jacksonville Jaguars","DST","JAC",31,29,1,28,30,"DST","JAC DST","DST","https://www.fantasypros.com/nfl/players/jacksonville-defense.php","jacksonville-defense.php","8",6.2,NA,NA,NA,NA,"DST31","86.7",2025,"2025-09-09T18:09:55Z","fantasypros","Jacksonville Jaguars",8140,NA,31,28,30,NA,1,NA,"jacksonville-jaguars","jac","jacksonville-jaguars|DST|jac",31
"Carolina Panthers","DST","CAR",32,32,0,32,32,"DST","CAR DST","DST","https://www.fantasypros.com/nfl/players/carolina-defense.php","carolina-defense.php","14",1.1,NA,NA,NA,NA,"DST32","85.0",2025,"2025-09-09T18:09:55Z","fantasypros","Carolina Panthers",8040,NA,32,32,32,NA,0,NA,"carolina-panthers","car","carolina-panthers|DST|car",32
"Brandon Aubrey","K","DAL",1,1,0,1,1,"K","B. Aubrey","K","https://www.fantasypros.com/nfl/players/brandon-aubrey.php","brandon-aubrey.php","10",98.7,NA,NA,NA,NA,"K1","139.4",2025,"2025-09-09T18:09:55Z","fantasypros","Brandon Aubrey",26068,NA,1,1,1,NA,0,NA,"brandon-aubrey","dal","brandon-aubrey|K|dal",1
"Wil Lutz","K","DEN",2,3.6,1.02,2,5,"K","W. Lutz","K","https://www.fantasypros.com/nfl/players/wil-lutz.php","wil-lutz.php","12",47.8,NA,NA,NA,NA,"K2","137.7",2025,"2025-09-09T18:09:55Z","fantasypros","Wil Lutz",16026,NA,2,2,5,NA,1.02,NA,"wil-lutz","den","wil-lutz|K|den",2
"Cameron Dicker","K","LAC",3,3.6,1.2,2,5,"K","C. Dicker","K","https://www.fantasypros.com/nfl/players/cameron-dicker.php","cameron-dicker.php","12",98,NA,NA,NA,NA,"K3","136.0",2025,"2025-09-09T18:09:55Z","fantasypros","Cameron Dicker",23901,NA,3,2,5,NA,1.2,NA,"cameron-dicker","lac","cameron-dicker|K|lac",3
"Jake Bates","K","DET",4,4.6,3.38,2,11,"K","J. Bates","K","https://www.fantasypros.com/nfl/players/jake-bates.php","jake-bates.php","8",98.3,-2,NA,NA,NA,"K4","134.3",2025,"2025-09-09T18:09:55Z","fantasypros","Jake Bates",26075,NA,4,2,11,NA,3.38,NA,"jake-bates","det","jake-bates|K|det",4
"Ka'imi Fairbairn","K","HOU",5,4.8,1.72,2,7,"K","K. Fairbairn","K","https://www.fantasypros.com/nfl/players/kaimi-fairbairn.php","kaimi-fairbairn.php","6",60.4,3,NA,NA,NA,"K5","132.6",2025,"2025-09-09T18:09:55Z","fantasypros","Ka'imi Fairbairn",15756,NA,5,2,7,NA,1.72,NA,"ka-imi-fairbairn","hou","ka-imi-fairbairn|K|hou",5
"Chase McLaughlin","K","TB",6,8.6,2.42,6,13,"K","C. McLaughlin","K","https://www.fantasypros.com/nfl/players/chase-mclaughlin.php","chase-mclaughlin.php","9",87.9,-3,NA,NA,NA,"K6","130.9",2025,"2025-09-09T18:09:55Z","fantasypros","Chase McLaughlin",19058,NA,6,6,13,NA,2.42,NA,"chase-mclaughlin","tb","chase-mclaughlin|K|tb",6
"Tyler Loop","K","BAL",7,10.6,5.68,3,19,"K","T. Loop","K","https://www.fantasypros.com/nfl/players/tyler-loop.php","tyler-loop.php","7",50.3,2,NA,NA,NA,"K7","129.2",2025,"2025-09-09T18:09:55Z","fantasypros","Tyler Loop",27534,NA,7,3,19,NA,5.68,NA,"tyler-loop","bal","tyler-loop|K|bal",7
"Chris Boswell","K","PIT",8,11.2,6.4,4,20,"K","C. Boswell","K","https://www.fantasypros.com/nfl/players/chris-boswell.php","chris-boswell.php","5",86.7,-4,NA,NA,NA,"K8","129.2",2025,"2025-09-09T18:09:55Z","fantasypros","Chris Boswell",13029,NA,8,4,20,NA,6.4,NA,"chris-boswell","pit","chris-boswell|K|pit",8
"Jake Elliott","K","PHI",9,11.4,3.88,6,18,"K","J. Elliott","K","https://www.fantasypros.com/nfl/players/jake-elliott.php","jake-elliott.php","9",75,6,NA,NA,NA,"K9","129.2",2025,"2025-09-09T18:09:55Z","fantasypros","Jake Elliott",16540,NA,9,6,18,NA,3.88,NA,"jake-elliott","phi","jake-elliott|K|phi",9
"Matt Gay","K","WAS",10,11.4,4.27,6,18,"K","M. Gay","K","https://www.fantasypros.com/nfl/players/matt-gay.php","matt-gay.php","12",33.3,4,NA,NA,NA,"K10","127.5",2025,"2025-09-09T18:09:55Z","fantasypros","Matt Gay",18545,NA,10,6,18,NA,4.27,NA,"matt-gay","was","matt-gay|K|was",10
"Harrison Butker","K","KC",11,11.4,3.44,7,17,"K","H. Butker","K","https://www.fantasypros.com/nfl/players/harrison-butker.php","harrison-butker.php","10",79.8,NA,NA,NA,NA,"K11","127.5",2025,"2025-09-09T18:09:55Z","fantasypros","Harrison Butker",16712,NA,11,7,17,NA,3.44,NA,"harrison-butker","kc","harrison-butker|K|kc",11
"Evan McPherson","K","CIN",12,11.6,4.36,7,19,"K","E. McPherson","K","https://www.fantasypros.com/nfl/players/evan-mcpherson.php","evan-mcpherson.php","10",52.7,NA,NA,NA,NA,"K12","125.8",2025,"2025-09-09T18:09:55Z","fantasypros","Evan McPherson",23297,NA,12,7,19,NA,4.36,NA,"evan-mcpherson","cin","evan-mcpherson|K|cin",12
"Tyler Bass","K","BUF",13,12.6,3.01,9,17,"K","T. Bass","K","https://www.fantasypros.com/nfl/players/tyler-bass.php","tyler-bass.php","7",52.7,-5,NA,NA,NA,"K13","125.8",2025,"2025-09-09T18:09:55Z","fantasypros","Tyler Bass",19760,NA,13,9,17,NA,3.01,NA,"tyler-bass","buf","tyler-bass|K|buf",13
"Brandon McManus","K","GB",14,11.5,4.97,8,20,"K","B. McManus","K","https://www.fantasypros.com/nfl/players/brandon-mcmanus.php","brandon-mcmanus.php","5",9.8,6,NA,NA,NA,"K14","125.8",2025,"2025-09-09T18:09:55Z","fantasypros","Brandon McManus",13274,NA,14,8,20,NA,4.97,NA,"brandon-mcmanus","gb","brandon-mcmanus|K|gb",14
"Cam Little","K","JAC",15,15,4.73,8,22,"K","C. Little","K","https://www.fantasypros.com/nfl/players/cam-little.php","cam-little.php","8",52,NA,NA,NA,NA,"K15","125.8",2025,"2025-09-09T18:09:55Z","fantasypros","Cam Little",26475,NA,15,8,22,NA,4.73,NA,"cam-little","jac","cam-little|K|jac",15
"Will Reichard","K","MIN",16,14.25,5.12,7,20,"K","W. Reichard","K","https://www.fantasypros.com/nfl/players/will-reichard.php","will-reichard.php","6",7.9,NA,NA,NA,NA,"K16","125.8",2025,"2025-09-09T18:09:55Z","fantasypros","Will Reichard",26341,NA,16,7,20,NA,5.12,NA,"will-reichard","min","will-reichard|K|min",16
"Joshua Karty","K","LAR",17,17.6,3.2,13,21,"K","J. Karty","K","https://www.fantasypros.com/nfl/players/joshua-karty.php","joshua-karty.php","8",6.5,-3,NA,NA,NA,"K17","124.1",2025,"2025-09-09T18:09:55Z","fantasypros","Joshua Karty",26478,NA,17,13,21,NA,3.2,NA,"joshua-karty","lar","joshua-karty|K|lar",17
"Younghoe Koo","K","ATL",18,18,3.69,13,23,"K","Y. Koo","K","https://www.fantasypros.com/nfl/players/younghoe-koo.php","younghoe-koo.php","5",29.8,-5,NA,NA,NA,"K18","122.4",2025,"2025-09-09T18:09:55Z","fantasypros","Younghoe Koo",16910,NA,18,13,23,NA,3.69,NA,"younghoe-koo","atl","younghoe-koo|K|atl",18
"Jason Sanders","K","MIA",19,18.4,7.23,10,30,"K","J. Sanders","K","https://www.fantasypros.com/nfl/players/jason-sanders.php","jason-sanders.php","12",10.9,NA,NA,NA,NA,"K19","120.7",2025,"2025-09-09T18:09:55Z","fantasypros","Jason Sanders",17533,NA,19,10,30,NA,7.23,NA,"jason-sanders","mia","jason-sanders|K|mia",19
"Chad Ryland","K","ARI",20,16,2.92,14,21,"K","C. Ryland","K","https://www.fantasypros.com/nfl/players/chad-ryland.php","chad-ryland.php","8",2,9,NA,NA,NA,"K20","120.7",2025,"2025-09-09T18:09:55Z","fantasypros","Chad Ryland",25354,NA,20,14,21,NA,2.92,NA,"chad-ryland","ari","chad-ryland|K|ari",20
"Jason Myers","K","SEA",21,19.8,2.79,17,24,"K","J. Myers","K","https://www.fantasypros.com/nfl/players/jason-myers.php","jason-myers.php","8",4.1,NA,NA,NA,NA,"K21","119.0",2025,"2025-09-09T18:09:55Z","fantasypros","Jason Myers",14003,NA,21,17,24,NA,2.79,NA,"jason-myers","sea","jason-myers|K|sea",21
"Daniel Carlson","K","LV",22,18,2.74,15,22,"K","D. Carlson","K","https://www.fantasypros.com/nfl/players/daniel-carlson.php","daniel-carlson.php","8",10.7,NA,NA,NA,NA,"K22","119.0",2025,"2025-09-09T18:09:55Z","fantasypros","Daniel Carlson",17420,NA,22,15,22,NA,2.74,NA,"daniel-carlson","lv","daniel-carlson|K|lv",22
"Jake Moody","K","FA",23,20.25,2.68,16,23,"K","J. Moody","K","https://www.fantasypros.com/nfl/players/jake-moody.php","jake-moody.php",NA,6.5,NA,NA,NA,NA,"K23","117.3",2025,"2025-09-09T18:09:55Z","fantasypros","Jake Moody",24009,NA,23,16,23,NA,2.68,NA,"jake-moody","fa","jake-moody|K|fa",23
"Matthew Wright","K","FA",24,20,7.12,10,26,"K","M. Wright","K","https://www.fantasypros.com/nfl/players/matthew-wright.php","matthew-wright.php",NA,0.6,7,NA,NA,NA,"K24","117.3",2025,"2025-09-09T18:09:55Z","fantasypros","Matthew Wright",18779,NA,24,10,26,NA,7.12,NA,"matthew-wright","fa","matthew-wright|K|fa",24
"Cairo Santos","K","CHI",25,25,1.22,24,27,"K","C. Santos","K","https://www.fantasypros.com/nfl/players/cairo-santos.php","cairo-santos.php","5",16.8,NA,NA,NA,NA,"K25","112.2",2025,"2025-09-09T18:09:55Z","fantasypros","Cairo Santos",13731,NA,25,24,27,NA,1.22,NA,"cairo-santos","chi","cairo-santos|K|chi",25
"Joey Slye","K","TEN",26,24,1,23,25,"K","J. Slye","K","https://www.fantasypros.com/nfl/players/joey-slye.php","joey-slye.php","10",0.7,5,NA,NA,NA,"K26","110.5",2025,"2025-09-09T18:09:55Z","fantasypros","Joey Slye",19028,NA,26,23,25,NA,1,NA,"joey-slye","ten","joey-slye|K|ten",26
"Graham Gano","K","NYG",27,26.67,0.94,26,28,"K","G. Gano","K","https://www.fantasypros.com/nfl/players/graham-gano.php","graham-gano.php","14",1,-5,NA,NA,NA,"K27","108.8",2025,"2025-09-09T18:09:55Z","fantasypros","Graham Gano",9232,NA,27,26,28,NA,0.94,NA,"graham-gano","nyg","graham-gano|K|nyg",27
